Position,"Track Name",Artist,Streams,URL
1,"Shape of You","Ed Sheeran",7059172,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
2,"Something Just Like This","The Chainsmokers",4517368,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
3,"It Ain't Me (with Selena Gomez)",Kygo,4454192,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3852601,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
5,Paris,"The Chainsmokers",3610645,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
6,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3451927,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
7,"Scared to Be Lonely","Martin Garrix",3120676,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
8,"Chained To The Rhythm","Katy Perry",3015056,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
9,Issues,"Julia Michaels",2666821,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
10,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",2528520,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
11,"Castle on the Hill","Ed Sheeran",2519359,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
12,"I Feel It Coming","The Weeknd",2354694,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
13,"Say You Won't Let Go","James Arthur",2280023,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
14,Slide,"Calvin Harris",2278294,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
15,"That's What I Like","Bruno Mars",2237827,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
16,Closer,"The Chainsmokers",2174664,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
17,"Stay (with Alessia Cara)",Zedd,2130973,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
18,"Call On Me - Ryan Riback Extended Remix",Starley,2125346,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
19,Believer,"Imagine Dragons",2123567,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
20,Starboy,"The Weeknd",2099792,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
21,Cold,"Maroon 5",2070481,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
22,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1976963,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
23,"How Far I'll Go - From ""Moana""","Alessia Cara",1912494,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
24,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",1893738,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
25,"iSpy (feat. Lil Yachty)",KYLE,1860856,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
26,Chantaje,Shakira,1752901,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
27,"Just Hold On","Steve Aoki",1667364,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR
